business_unit,lead_contact,title,job_level,industry,team,channel,lead_product,sales_qualified
business_unit_1,Contact,Revenue Cycle Executive,Director-Level,Hospital,team_4,Content Syndication,product_49,0
business_unit_1,Lead,Private Pay Billing Manager,Manager-Level,Assisted Living Facility,team_1,Webinar,product_7,0
business_unit_2,Lead,,,,team_8,Webinar,product_19,0
business_unit_2,Lead,Vice President,VP-Level,Pharmaceutical,team_8,Webinar,product_19,0
business_unit_1,Contact,Office Manager,Manager-Level,Home Health,team_1,Webinar,product_40,0
business_unit_1,Contact,Revenue Cycle Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_40,0
business_unit_1,Contact,"RN, RAI Specialist",Staff-Level,Skilled Nursing Facility,team_1,Webinar,product_40,0
business_unit_1,Contact,Therapist,C-Level,Mental Health,team_3,Webinar,product_40,0
business_unit_1,Contact,office manager,Manager-Level,Dental,team_3,Demo Request,product_47,0
business_unit_3,Lead,Director Quality Analytics,Director-Level,Health Plan / Payer,team_9,Webinar,product_23,0
business_unit_1,Lead,Billing,,Physician,team_3,Inbound Call,product_1,0
business_unit_1,Contact,Patient Accounting Rep,Staff-Level,Health System,team_4,Demo Request,product_7,0
business_unit_1,Lead,,,,team_1,Webinar,product_27,0
business_unit_1,Lead,,,Skilled Nursing Facility,team_1,PPC,product_27,0
business_unit_1,Lead,Administrator,Director-Level,Home Health,team_1,Webinar,product_27,0
business_unit_1,Lead,Intake,,Home Health,team_1,Webinar,product_27,0
business_unit_1,Lead,Billing manager,Manager-Level,Home Health,team_1,Webinar,product_27,0
business_unit_1,Contact,Supervisor Revenue Cycle,Staff-Level,Ambulatory Health Care Facilities,team_1,Webinar,product_27,0
business_unit_1,Contact,Administrator,Director-Level,Home Health,team_1,Webinar,product_27,1
business_unit_1,Contact,Executive Administrator,Director-Level,Hospice,team_1,Webinar,product_27,0
business_unit_1,Contact,COO,C-Level,Physician,team_3,Demo Request,product_4,1
business_unit_1,Contact,Business Office Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Lead,,,Health System,team_4,Demo Request,product_4,1
business_unit_1,Lead,Product Director,,Software Vendor,team_2,Webinar,product_7,0
business_unit_1,Contact,Dr.,Provider-Level,Eye and Vision Services,team_3,Demo Request,product_24,1
business_unit_3,Lead,Data Science,,Health Plan / Payer,team_9,Webinar,product_14,0
business_unit_1,Contact,Owner & Chief Executive Officer,C-Level,Home Health,team_1,Webinar,product_27,0
business_unit_1,Contact,Administrator,Director-Level,Home Health,team_1,Webinar,product_27,0
business_unit_1,Contact,Billing Manager,Staff-Level,Skilled Nursing Facility,team_1,MDR Meeting,product_40,1
business_unit_1,Lead,Billing,,Physician,team_3,Inbound Call,product_1,0
business_unit_1,Lead,,,Physician,team_3,PPC,product_47,0
business_unit_1,Lead,Admissions Coordinator,,Hospital,team_4,Webinar,product_27,0
business_unit_1,Lead,Business Office Manager,,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Lead,Patient Access Manager,,Hospital,team_4,Webinar,product_27,0
business_unit_1,Contact,Revenue Cycle Manager,Manager-Level,Hospital,team_4,Webinar,product_49,0
business_unit_1,Lead,Office Manager,,Hospice,team_1,Inbound Call,product_37,0
business_unit_1,Lead,Billing,,DME & Medical Supplies,team_3,Demo Request,product_4,1
business_unit_1,Lead,Director of Admissions,Director-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Contact,Business Office Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Contact,VP of Finance,Manager-Level,Home Health,team_1,Webinar,product_50,0
business_unit_1,Lead,AVP IRF,VP-Level,Hospital,team_4,Webinar,product_27,0
business_unit_1,Contact,Business Office Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Contact,Intake,Staff-Level,Home Health,team_1,Webinar,product_27,0
business_unit_3,Contact,CEO,C-Level,,team_9,Webinar,product_13,0
business_unit_1,Contact,Billing Director,Director-Level,DME & Medical Supplies,team_3,Webinar,product_49,1
business_unit_1,Contact,Owner,C-Level,Ambulatory Health Care Facilities,team_3,Inbound Call,product_24,1
business_unit_1,Lead,,,Physician,team_3,PPC,product_27,1
business_unit_1,Lead,Biller,,Other Ambulatory Provider,team_3,Webinar,product_49,0
business_unit_1,Lead,,,Health System,team_6,Demo Request,product_35,1
business_unit_1,Lead,,,Software Vendor,team_2,Demo Request,product_24,1
business_unit_1,Contact,"Manager, Billing",Manager-Level,Billing Services,team_3,Webinar,product_49,0
business_unit_1,Contact,Accounts Payable/Accounts Receivable,,Mental Health,team_3,Inbound Call,product_34,1
business_unit_1,Contact,Biller,,Mental Health,team_3,Inbound Call,product_37,1
business_unit_1,Lead,Admin,,Revenue Cycle Management,team_2,Web Chat,product_1,1
business_unit_1,Lead,"Director, Admissions",,Skilled Nursing Facility,team_1,MDR Meeting,product_24,1
business_unit_1,Contact,,,Hospice,team_1,Demo Request,product_22,0
business_unit_1,Lead,Billing,,Home Health,team_1,Inbound Call,product_4,0
business_unit_1,Lead,,,Hospital,team_7,PPC,product_64,0
business_unit_1,Contact,Payroll Supervisor,,Mental Health,team_5,Webinar,product_57,0
business_unit_1,Lead,Owner & CEO,,Home Health,team_1,Webinar,product_27,0
business_unit_1,Lead,Administrator,,Home Health,team_1,Webinar,product_27,0
business_unit_1,Lead,Director of Business Office,,Hospital,team_4,Webinar,product_27,0
business_unit_1,Lead,,,Skilled Nursing Facility,team_6,Demo Request,product_35,1
business_unit_1,Contact,Chief HR Officer,,Facility/Agency,team_5,Webinar,product_57,0
business_unit_1,Contact,Acute Care Services Director,,Mental Health,team_5,Webinar,product_57,0
business_unit_1,Contact,HR Director,,Facility/Agency,team_5,Webinar,product_57,1
business_unit_1,Contact,Strategy & Impact Specialist,,Residential Treatment Facilities,team_5,Webinar,product_57,0
business_unit_1,Contact,Talent Acquisition Director,,Facility/Agency,team_5,Webinar,product_57,0
business_unit_1,Contact,Dir. of Retention,Director-Level,Mental Health,team_5,Webinar,product_57,0
business_unit_1,Contact,Strategy & Impact Analyst,Staff-Level,Residential Treatment Facilities,team_5,Webinar,product_57,0
business_unit_1,Contact,Business Office Manager,Staff-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Lead,Lpn Mds Coordinator,Staff-Level,Skilled Nursing Facility,team_1,Webinar,product_6,0
business_unit_1,Contact,Billing Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_6,0
business_unit_1,Lead,Billing Specialist,Staff-Level,Home Health,team_1,Webinar,product_6,0
business_unit_1,Contact,Billing Specialist,Staff-Level,Hospital,team_4,Webinar,product_27,0
business_unit_1,Contact,Revenue Cycle Manager,Staff-Level,Hospital,team_4,Webinar,product_7,0
business_unit_1,Contact,Revenue Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_6,0
business_unit_1,Lead,"Chief Financial Officer, Clearlake",C-Level,Hospital,team_4,Webinar,product_7,0
business_unit_1,Contact,Insurance Verification,Staff-Level,Home Health,team_1,Webinar,product_27,0
business_unit_1,Contact,Lead Biller,Staff-Level,Hospital,team_4,Webinar,product_7,0
business_unit_1,Contact,Billing Manager,Manager-Level,"Speech, Language and Hearing Service",team_3,Webinar,product_7,0
business_unit_1,Contact,Director of Reimbursement,Director-Level,Skilled Nursing Facility,team_1,Webinar,product_6,0
business_unit_1,Contact,,,Skilled Nursing Facility,team_1,Webinar,product_6,0
business_unit_1,Contact,,,Home Health,team_1,Webinar,product_6,0
business_unit_1,Contact,Billing Manager,Director-Level,PT/OT/Rehab,team_3,Webinar,product_7,0
business_unit_1,Contact,Business Office,Manager-Level,Home Health,team_1,Webinar,product_27,0
business_unit_1,Lead,"Senior Vice President, Solutions Design and Implementation",,Revenue Cycle Management,team_2,Tradeshow,product_34,0
business_unit_1,Lead,"CEO, Founder",C-Level,Billing Services,team_3,Tradeshow,product_7,0
business_unit_1,Lead,VP Sales & Marketing,,Revenue Cycle Management,team_2,Tradeshow,product_41,0
business_unit_1,Contact,Channel Sales Manager,Manager-Level,Software Vendor,team_2,Tradeshow,product_53,0
business_unit_1,Contact,Billing Director,Director-Level,Chiropractic,team_3,Tradeshow,product_7,1
business_unit_1,Contact,Channel,,Software Vendor,team_2,Tradeshow,product_53,0
business_unit_1,Contact,"Practice Manager, Sr Account Manager",,Billing Services,team_3,Tradeshow,product_41,1
business_unit_1,Contact,Sales,,Software Vendor,team_2,Tradeshow,product_53,0
business_unit_1,Contact,Channel Partnerships Manager,Manager-Level,Software Vendor,team_2,Tradeshow,product_53,0
business_unit_1,Contact,Owner,C-Level,Billing Services,team_3,Tradeshow,product_41,1
business_unit_1,Lead,RN CCDS,,Hospital,team_4,Webinar,product_7,0
business_unit_1,Contact,Office Manager,C-Level,Home Health,team_1,Inbound Call,product_5,1
business_unit_1,Lead,MDS Consultant,,Skilled Nursing Facility,team_1,Webinar,product_6,1
business_unit_1,Contact,Billing,Manager-Level,Skilled Nursing Facility,team_1,Inbound Call,product_4,1
business_unit_1,Lead,Billing,,Skilled Nursing Facility,team_1,Inbound Call,product_4,0
business_unit_1,Contact,Patient Accounts,Staff-Level,Hospital,team_4,Webinar,product_7,0
business_unit_1,Lead,Medical Coder III,,Hospital,team_4,Webinar,product_7,0
business_unit_1,Contact,,,Hospice,team_1,Webinar,product_6,0
business_unit_1,Contact,Patient Acct Rep,Staff-Level,Hospital,team_4,Webinar,product_7,0
business_unit_1,Contact,DOO,,Physician,team_3,Survey,product_4,0
business_unit_1,Lead,Owner,,Mental Health,team_3,Inbound Call,product_1,0
business_unit_1,Lead,Office Manager,,Physician,team_3,Inbound Call,product_24,1
business_unit_1,Lead,,,Mental Health,team_3,Demo Request,product_4,0
business_unit_1,Lead,Office Manager,,Home Health,team_1,Webinar,product_7,0
business_unit_3,Lead,Chief Technical Officer,,Health System,team_9,Webinar,product_13,0
business_unit_1,Lead,,,Other Ambulatory Provider,team_3,Demo Request,product_26,1
business_unit_1,Lead,,,Other Ambulatory Provider,team_3,PPC,product_27,1
business_unit_1,Lead,,,Skilled Nursing Facility,team_1,Demo Request,product_27,0
business_unit_1,Lead,Billing supervisor,,Home Health,team_1,Webinar,product_7,0
business_unit_1,Lead,Billing Specialist,,Home Health,team_1,Webinar,product_7,0
business_unit_1,Lead,Billing Manager,,Other Ambulatory Provider,team_3,Webinar,product_7,0
business_unit_1,Lead,Billing Manager,,Skilled Nursing Facility,team_1,Webinar,product_7,0
business_unit_1,Lead,Biller,,Home Health,team_1,Webinar,product_7,0
business_unit_1,Contact,CNO,C-Level,Hospital,team_6,PPC,product_3,1
business_unit_3,Contact,VP,VP-Level,Other,team_9,Webinar,product_13,0
business_unit_1,Contact,Billing,Manager-Level,Chiropractic,team_3,Inbound Call,product_1,0
business_unit_1,Lead,Billing and Coding Specialist,,Hospital,team_4,Content Syndication,product_49,0
business_unit_1,Contact,"Director, Financial Planning and Analysis",Director-Level,Hospital,team_4,Content Syndication,product_49,0
business_unit_1,Lead,"Analysis Vice President, Financial Planning",VP-Level,Hospital,team_4,Webinar,product_49,0
business_unit_1,Lead,Owner,,Mental Health,team_3,Inbound Call,product_1,1
business_unit_1,Lead,Revenue Cycle Manager,,Assisted Living Facility,team_1,Web Chat,product_1,1
business_unit_1,Contact,Billing Manager,Manager-Level,Home Health,team_1,Webinar,product_7,0
business_unit_1,Contact,Business Office Manager,Manager-Level,Hospital,team_4,Webinar,product_7,0
business_unit_1,Contact,Consulting,Staff-Level,Hospice,team_1,Webinar,product_7,0
business_unit_1,Contact,Patient Access Manager,Manager-Level,Health System,team_4,Webinar,product_27,0
business_unit_1,Contact,Executive Administrator,Director-Level,Home Health,team_1,Webinar,product_7,0
business_unit_1,Contact,Business Office Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_7,0
business_unit_1,Contact,Biller,Staff-Level,Skilled Nursing Facility,team_1,Webinar,product_7,0
business_unit_1,Contact,Owner,C-Level,Home Health,team_1,Webinar,product_7,0
business_unit_1,Contact,Billing,Staff-Level,Home Health,team_1,Webinar,product_7,0
business_unit_1,Contact,Billing Manager,Manager-Level,Home Health,team_1,Webinar,product_7,0
business_unit_1,Contact,,,Software Vendor,team_2,Webinar,product_27,1
business_unit_1,Lead,,,Home Health,team_1,Demo Request,product_28,1
business_unit_1,Contact,Office assistant,Staff-Level,Hospital,team_4,Demo Request,product_22,0
business_unit_1,Lead,Billing,,"Respiratory, Rehab & Restorative Service",team_3,Inbound Call,product_44,1
business_unit_1,Lead,,,Physician,team_3,PPC,product_27,0
business_unit_1,Lead,,,Physician,team_3,PPC,product_27,1
business_unit_1,Lead,,,Other Ambulatory Provider,team_3,Demo Request,product_4,0
business_unit_1,Lead,Consultant,,Pharmacy Service,team_3,Inbound Call,product_1,0
business_unit_1,Contact,Billing,Staff-Level,Home Health,team_1,Demo Request,product_25,1
business_unit_1,Lead,Owner,,Hospice,team_1,PBP,product_4,1
business_unit_1,Contact,Billing,C-Level,Skilled Nursing Facility,team_1,Inbound Call,product_4,1
business_unit_1,Lead,Billing,,Hospice,team_1,Inbound Call,product_4,1
business_unit_1,Lead,,,Home Health,team_1,Demo Request,product_22,1
business_unit_1,Contact,Executive Admin Asst.,,Hospice,team_1,Webinar,product_27,0
business_unit_1,Contact,Accounts Receivable Accountant,Staff-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Contact,,,DME & Medical Supplies,team_3,Demo Request,product_27,0
business_unit_1,Contact,Admission,Staff-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Contact,Billing,Staff-Level,Chiropractic,team_3,Inbound Call,product_1,1
business_unit_1,Lead,,,Other Ambulatory Provider,team_3,Demo Request,product_22,1
business_unit_1,Lead,,,Other Ambulatory Provider,team_3,PPC,product_7,0
business_unit_1,Lead,Office Manager,,Home Health,team_1,Inbound Call,product_4,1
business_unit_1,Contact,Director Finance,Director-Level,DME & Medical Supplies,team_3,Webinar,product_40,0
business_unit_1,Lead,Owner,,Mental Health,team_3,Inbound Call,product_1,1
business_unit_3,Contact,"Director, Risk Adjustment",Director-Level,Health Plan / Payer,team_9,Tradeshow,product_42,0
business_unit_1,Lead,Owner,,Other Ambulatory Provider,team_3,Inbound Call,product_1,0
business_unit_1,Lead,Psychologist,,Other Ambulatory Provider,team_3,Webinar,product_40,0
business_unit_1,Lead,Chief Executive Officer & Founder,,Physician,team_3,Webinar,product_34,1
business_unit_1,Lead,director,,Physician,team_3,Webinar,product_4,0
business_unit_1,Lead,Office mngr,,Physician,team_3,Webinar,product_34,0
business_unit_1,Lead,Office Manager,,Physician,team_3,Webinar,product_34,1
business_unit_1,Lead,Office Manager,Manager-Level,Physician,team_3,Webinar,product_34,0
business_unit_1,Lead,,,Other Ambulatory Provider,team_3,PPC,product_27,0
business_unit_1,Lead,"Manager, Revenue Cycle",,Ambulatory Health Care Facilities,team_3,Webinar,product_4,0
business_unit_1,Lead,,,Physician,team_3,PPC,product_27,1
business_unit_1,Contact,,,Transportation Services,team_6,PPC,product_3,0
business_unit_1,Lead,,,Home Health,team_1,Demo Request,product_25,0
business_unit_1,Contact,Billing  Manager,Manager-Level,Physician,team_3,Webinar,product_4,0
business_unit_1,Contact,Billing Rep,Staff-Level,Physician,team_3,Webinar,product_4,0
business_unit_1,Contact,DPM,,Podiatry,team_3,Webinar,product_34,0
business_unit_1,Contact,Office Manager,Manager-Level,Physician,team_3,Webinar,product_4,1
business_unit_1,Lead,"Co-Founder, Chairman & Chief Executive Officer",C-Level,Pharmacy Service,team_3,Webinar,product_34,0
business_unit_1,Contact,billing specialist,Staff-Level,Other Ambulatory Provider,team_3,Webinar,product_34,0
business_unit_1,Contact,CEO,C-Level,DME & Medical Supplies,team_3,Webinar,product_4,0
business_unit_1,Contact,Office/Billing Manager,Manager-Level,DME & Medical Supplies,team_3,Webinar,product_4,0
business_unit_1,Contact,Owner,C-Level,Physician,team_3,Webinar,product_34,0
business_unit_1,Contact,Billing Manager,Manager-Level,Pharmacy Service,team_3,Webinar,product_34,1
business_unit_1,Contact,Accounts Receivable,Staff-Level,Physician,team_3,Webinar,product_4,0
business_unit_1,Contact,Doctor/Biller,Provider-Level,Mental Health,team_3,Webinar,product_34,0
business_unit_1,Contact,Admin,Staff-Level,Billing Services,team_3,Webinar,product_34,0
business_unit_1,Contact,biller,Staff-Level,Transportation Services,team_3,Webinar,product_34,0
business_unit_1,Contact,Chief Financial Officer and Treasurer,C-Level,DME & Medical Supplies,team_3,Webinar,product_4,0
business_unit_1,Contact,Practice Administrator,Director-Level,Physician,team_3,Webinar,product_4,0
business_unit_1,Contact,Enrollment Contact,,Pharmacy Service,team_3,Webinar,product_34,1
business_unit_1,Contact,,,Ambulatory Health Care Facilities,team_3,Webinar,product_4,0
business_unit_1,Contact,Mrs,Staff-Level,Mental Health,team_3,Webinar,product_4,0
business_unit_1,Contact,VP of Finance,VP-Level,DME & Medical Supplies,team_3,Webinar,product_4,0
business_unit_1,Contact,account manager,Manager-Level,DME & Medical Supplies,team_3,Webinar,product_4,0
business_unit_1,Contact,RCM Manager,Manager-Level,Ambulatory Health Care Facilities,team_3,Webinar,product_4,0
business_unit_1,Contact,Revenue Cycle Director,Director-Level,Nursing Service,team_3,Webinar,product_34,0
business_unit_1,Contact,Reimbursement Manager,Manager-Level,Mental Health,team_3,Demo Request,product_4,0
business_unit_1,Lead,"Director, Nursing Services",,Consulting Services,team_5,Content Syndication,product_57,0
business_unit_1,Lead,Chief Operating Officer,,Assisted Living Facility,team_5,Content Syndication,product_57,0
business_unit_1,Lead,"Director, Finance",Director-Level,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,"Vice President, Finance",VP-Level,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Lead,"Director, Nursing",Director-Level,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,"Director, Revenue Cycle, Business Development",Director-Level,Hospital,team_5,Content Syndication,product_57,0
business_unit_1,Contact,Director Human Resources,Director-Level,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Lead,Executive Director,,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Lead,Executive Director,,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Lead,Nurse Manager,,Assisted Living Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,Director Human Resources,Director-Level,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,Vice President Operations,VP-Level,Assisted Living Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,"Director, Nursing",Director-Level,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,Chief Operating Officer,C-Level,Home Health,team_5,Content Syndication,product_57,0
business_unit_1,Contact,CEO,C-Level,Assisted Living Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,Vice President Human Resources Operations,VP-Level,Assisted Living Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,Administrator,Director-Level,Skilled Nursing Facility,team_1,Survey,product_5,1
business_unit_1,Contact,MDS Nurse,Provider-Level,Skilled Nursing Facility,team_1,Survey,product_5,0
business_unit_1,Lead,Executive Director,,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Lead,Executive Director,,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Lead,Human Resources Business Partner,,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,Vice President,VP-Level,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Lead,Nurse Consultant,,Skilled Nursing Facility,team_1,Survey,product_5,0
business_unit_1,Contact,"Director, Human Resources",Director-Level,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,CEO,C-Level,Assisted Living Facility,team_5,Content Syndication,product_57,0
business_unit_1,Lead,Owner,,Chiropractic,team_3,Web Chat,product_1,1
business_unit_1,Lead,Revenue Cycle Manager,,Physician,team_3,Webinar,product_4,0
business_unit_2,Lead,"Sales Executive, Major",,Pharmaceutical,team_8,Tradeshow,product_48,0
business_unit_2,Lead,"Sr. Director, Business Development",,Pharmaceutical,team_8,Tradeshow,product_48,0
business_unit_2,Lead,Chief Commercial Officer,,Pharmaceutical,team_10,Tradeshow,product_20,0
