Product ID,Product Name,Product Category,Price,Quantity Sold,UOM,Region,Customer Segment,Sales Rep Name,Date of Sale
ZPK067WN9W,Disposable Face Masks,Medical Devices,311.72,62,boxes,"Houston, TX",Hospital,Daniel Arnold,2024-08-19
CD0CAOSQRV,Disposable Gloves,Medical Devices,119.06,99,boxes,"Philadelphia, PA",Hospital,Daniel Arnold,2024-09-05
YPN9J1PMC5,Paracetamol Tablets,Pharmaceuticals,13.21,47,packs,"Houston, TX",Clinic,Daniel Arnold,2024-05-16
Z6QYEOHB8H,Amoxicillin Capsules,Pharmaceuticals,138.08,3,bottles,"Chicago, IL",Clinic,John Ponce,2024-09-25
FHNTF99FOY,Vitamin D Capsules,Pharmaceuticals,72.29,5,bottles,"San Antonio, TX",Hospital,Rachel Sutton,2024-05-13
5R7LRRYHVH,Antibiotic Ointment,Pharmaceuticals,336.81,39,tubes,"Portland, OR",Hospital,Aaron Snyder,2024-03-26
M863BFJ24U,Antibiotic Ointment,Pharmaceuticals,75.84,9,tubes,"San Francisco, CA",Clinic,Robin Levy,2024-06-11
Z3CD5BIBA4,Surgical Gowns,Surgical Supplies,353.29,69,packs,"Atlanta, GA",Clinic,Mikayla Sanchez,2024-10-12
LFFX8S6SUY,Vitamin D Capsules,Pharmaceuticals,51.99,19,bottles,"San Francisco, CA",Clinic,Christine King,2024-09-13
21906HTV3R,Ibuprofen Tablets,Pharmaceuticals,174.79,4,packs,"Miami, FL",Clinic,Jennifer Ross,2024-07-30
2NV42XAGSJ,Vitamin D Capsules,Pharmaceuticals,50.48,39,bottles,"Las Vegas, NV",Clinic,Mallory Barnett,2023-11-13
C47KO3CXEK,IV Catheters,Surgical Supplies,225.23,53,pieces,"San Francisco, CA",Clinic,Robin Levy,2024-05-25
3BBPR5ZYF9,Disposable Face Masks,Medical Devices,355.61,59,boxes,"Minneapolis, MN",Hospital,Thomas Garcia,2024-04-09
OWNBQFBWWD,"Syringes, 50ml",Medical Devices,351.22,50,boxes,"Dallas, TX",Hospital,Kristen Turner,2024-05-31
TMN1R5VQWM,Surgical Scalpels,Medical Devices,406.97,63,pieces,"Portland, OR",Hospital,Aaron Snyder,2024-08-18
EYW2E6275Y,Sterile Drapes,Surgical Supplies,431.18,46,packs,"Portland, OR",Clinic,Ana Smith,2024-01-10
3S2G2Q1Q2C,Suture Kits,Surgical Supplies,251.45,6,sets,"Orlando, FL",Hospital,Christopher Flores,2024-07-07
B7R68XUHD3,Surgical Gloves,Surgical Supplies,68.51,62,boxes,"Orlando, FL",Hospital,Rebecca Wagner,2023-11-25
52ZPKEPU77,Scalpel Blades,Surgical Supplies,414.16,52,pieces,"Seattle, WA",Hospital,Lisa Barrera,2024-01-02
OD10BQYB78,Diagnostic Test Strips,Medical Devices,356.29,9,boxes,"Washington, DC",Clinic,Kristen Turner,2024-07-30
0CCMBMA93C,Sterile Drapes,Surgical Supplies,382.06,6,packs,"Orlando, FL",Hospital,Kyle Blair,2024-02-12
6HHY7EANAV,Gauze Sponges,Medical Devices,332.07,22,packs,"Las Vegas, NV",Clinic,William Cantu,2024-08-07
4GEM8E8NRK,Surgical Gowns,Surgical Supplies,306.68,42,packs,"Phoenix, AZ",Clinic,Mikayla Sanchez,2023-11-19
78WG9DUF68,Catheters,Medical Devices,175.01,48,pieces,"Houston, TX",Clinic,Jorge Trujillo,2023-12-06
2LI1KPBEAC,"Syringes, 50ml",Surgical Supplies,361.59,19,boxes,"Denver, CO",Hospital,William Cantu,2024-06-25
CPT0FPWDQN,Vitamin D Capsules,Pharmaceuticals,219.04,38,bottles,"Philadelphia, PA",Hospital,Rebecca Wagner,2023-10-30
8COP0LHKQ8,Surgical Scalpels,Medical Devices,370.54,100,pieces,"Orlando, FL",Hospital,Kyle Blair,2024-05-11
2JUY2QO1PI,Gauze Sponges,Medical Devices,190.96,40,packs,"Dallas, TX",Hospital,Jennifer Ross,2024-09-11
Q7FQWRHAZW,Sterile Drapes,Surgical Supplies,58.5,38,packs,"Chicago, IL",Hospital,John Ponce,2024-04-26
AK1WTFZQY1,Gauze Pads,Surgical Supplies,91.97,29,packs,"Orlando, FL",Hospital,Kristen Turner,2024-06-19
I1K9E5BJSU,Vitamin D Capsules,Pharmaceuticals,430.7,63,bottles,"San Francisco, CA",Hospital,Mark Harrell,2023-10-23
ODJK16VB2L,Cough Syrup,Pharmaceuticals,180.88,6,bottles,"Boston, MA",Clinic,Juan Campos,2024-06-02
MTI7FOKSUW,Disposable Gloves,Medical Devices,244.33,61,boxes,"Phoenix, AZ",Hospital,Mikayla Sanchez,2024-05-22
TOWO22KNWF,Gauze Pads,Surgical Supplies,99.88,8,packs,"Phoenix, AZ",Clinic,Mikayla Sanchez,2024-05-11
ZNVFYMRORZ,Gauze Sponges,Medical Devices,172.12,57,packs,"Portland, OR",Hospital,Aaron Snyder,2024-03-05
LXCK0BWAQ5,Catheters,Medical Devices,450.06,47,pieces,"Los Angeles, CA",Clinic,William Sullivan,2024-02-26
ASC5Y0YABW,Surgical Gloves,Surgical Supplies,204.44,52,boxes,"Minneapolis, MN",Clinic,Thomas Garcia,2024-10-06
95Z0I1KDQL,"Syringes, 50ml",Surgical Supplies,245.95,16,boxes,"Portland, OR",Hospital,Aaron Snyder,2023-10-27
GP6PQZSE6P,Suture Kits,Surgical Supplies,286.39,5,sets,"Dallas, TX",Hospital,Jennifer Ross,2023-10-21
2N3OHH7VBN,Paracetamol Tablets,Pharmaceuticals,118.63,48,packs,"San Francisco, CA",Clinic,Robin Levy,2024-09-29
IDGCWGVWZS,Surgical Gowns,Surgical Supplies,99.57,72,packs,"Washington, DC",Hospital,Renee Mcgrath,2023-12-20
K5MQWS8877,Cough Syrup,Pharmaceuticals,86.22,19,bottles,"Portland, OR",Clinic,Ana Smith,2023-11-28
URZHJBFAXF,Suture Kits,Surgical Supplies,447.82,68,sets,"Minneapolis, MN",Hospital,Thomas Garcia,2023-12-30
2Y8O7QMD52,Paracetamol Tablets,Pharmaceuticals,87.17,56,packs,"Houston, TX",Hospital,Daniel Arnold,2024-08-02
LQLBBNHSGH,IV Catheters,Surgical Supplies,301.77,52,pieces,"Portland, OR",Clinic,Lisa Barrera,2024-09-20
Y0L4JMZB7C,"Syringes, 50ml",Medical Devices,131.2,41,boxes,"Seattle, WA",Clinic,Linda West,2023-10-22
Q0B39QECD1,IV Catheters,Surgical Supplies,60.65,14,pieces,"Denver, CO",Hospital,Jasmine Kelley,2024-03-17
O7PCP13BGR,Disposable Gloves,Medical Devices,459.2,83,boxes,"Houston, TX",Hospital,Daniel Arnold,2023-11-20
E57LPUKTHK,Metformin Tablets,Pharmaceuticals,322.77,5,packs,"Chicago, IL",Hospital,Jennifer Ross,2024-01-17
PVTJIE2D0I,Antibiotic Ointment,Pharmaceuticals,168.74,40,tubes,"Portland, OR",Hospital,Ana Smith,2024-01-02
K0X0S4EXE0,Ibuprofen Tablets,Pharmaceuticals,39.31,11,packs,"Minneapolis, MN",Clinic,Thomas Garcia,2024-06-06
MYZXH3ISYI,IV Catheters,Surgical Supplies,426.51,12,pieces,"San Antonio, TX",Hospital,Rachel Sutton,2024-02-19
WKG3TLVAEO,Surgical Gloves,Surgical Supplies,87.98,53,boxes,"Portland, OR",Clinic,Aaron Snyder,2023-12-18
9SC121UZH0,Vitamin D Capsules,Pharmaceuticals,59.0,19,bottles,"Los Angeles, CA",Clinic,William Sullivan,2024-04-15
31MVW6D4SM,Gauze Sponges,Medical Devices,128.22,12,packs,"San Francisco, CA",Clinic,Mark Harrell,2023-10-28
QAHXXR8RL4,Gauze Sponges,Medical Devices,298.73,67,packs,"Dallas, TX",Hospital,Mark Harrell,2023-11-19
JVZ32NCB08,Surgical Scalpels,Medical Devices,282.68,81,pieces,"Dallas, TX",Hospital,Kristen Turner,2024-10-09
MP0XJYKMT0,Suture Kits,Surgical Supplies,107.73,42,sets,"San Antonio, TX",Hospital,Rachel Sutton,2023-12-25
FAWABIXCC8,Adhesive Bandages,Medical Devices,89.05,61,packs,"Orlando, FL",Clinic,Kyle Blair,2024-02-22
P6HPMGL90N,Insulin Injection,Pharmaceuticals,494.9,66,syringles,"Atlanta, GA",Hospital,Mikayla Sanchez,2024-07-07
OJT0YQB7OO,Paracetamol Tablets,Pharmaceuticals,108.07,20,packs,"Washington, DC",Hospital,Renee Mcgrath,2024-08-15
AE5S0FL43I,Catheters,Medical Devices,242.41,10,pieces,"Houston, TX",Clinic,James Bradley,2024-09-14
A3G2YGC7VW,Disposable Face Masks,Medical Devices,247.33,59,boxes,"Philadelphia, PA",Clinic,Ryan Carr,2023-12-15
QFVJ30A7BD,Surgical Masks,Surgical Supplies,239.71,56,boxes,"Chicago, IL",Clinic,John Ponce,2024-06-16
KFIM0OJROL,Forceps,Surgical Supplies,189.25,43,pieces,"Minneapolis, MN",Hospital,Thomas Garcia,2024-10-01
6T91UJYQZO,Metformin Tablets,Pharmaceuticals,116.98,15,packs,"Washington, DC",Clinic,Mikayla Sanchez,2023-11-04
RA0BYU1KYH,Adhesive Bandages,Medical Devices,178.49,39,packs,"San Francisco, CA",Hospital,Mark Harrell,2024-06-17
TM98HUL87V,Aspirin Tablets,Pharmaceuticals,173.04,27,packs,"San Francisco, CA",Clinic,Christine King,2024-08-18
ZYM66L0A3U,Surgical Scalpels,Medical Devices,142.97,61,pieces,"Dallas, TX",Clinic,Kristen Turner,2024-02-16
8NWL2V9AFB,Aspirin Tablets,Pharmaceuticals,446.03,61,packs,"Atlanta, GA",Hospital,Robert Green,2024-01-13
E78R8320GT,Amoxicillin Capsules,Pharmaceuticals,257.5,59,bottles,"Los Angeles, CA",Hospital,William Sullivan,2024-05-19
P8GGXFDS2V,Paracetamol Tablets,Pharmaceuticals,478.47,19,packs,"Las Vegas, NV",Hospital,William Cantu,2024-03-23
1JKP9Z8TT9,Paracetamol Tablets,Pharmaceuticals,125.21,14,packs,"Minneapolis, MN",Clinic,Mikayla Sanchez,2023-12-16
G2241FX7UM,Suture Kits,Surgical Supplies,291.35,58,sets,"Los Angeles, CA",Hospital,William Sullivan,2024-04-03
8UOW2IAT7Y,Insulin Injection,Pharmaceuticals,96.2,17,syringles,"Minneapolis, MN",Clinic,Thomas Silva,2024-03-12
WWR0I6J87C,Diagnostic Test Strips,Medical Devices,283.22,67,boxes,"San Francisco, CA",Clinic,Mark Harrell,2024-05-09
Q0QS3Z8F77,Diagnostic Test Strips,Medical Devices,264.86,42,boxes,"Denver, CO",Hospital,Lisa Barrera,2024-04-17
W7J51VDBAJ,Gauze Sponges,Medical Devices,136.89,71,packs,"Portland, OR",Hospital,Aaron Snyder,2024-02-04
1N1WO5BQ3E,Ibuprofen Tablets,Pharmaceuticals,67.66,34,packs,"Orlando, FL",Clinic,Rachel Sutton,2024-02-21
ZLARSBUMAG,Surgical Scalpels,Medical Devices,276.64,87,pieces,"Seattle, WA",Hospital,Linda West,2024-08-15
DTB748L691,Antibiotic Ointment,Pharmaceuticals,178.58,65,tubes,"Seattle, WA",Hospital,John Ponce,2024-01-13
JYVOLCEERX,Antibiotic Ointment,Pharmaceuticals,321.91,50,tubes,"Denver, CO",Hospital,Jasmine Kelley,2024-05-06
1B3BT0W8MV,Amoxicillin Capsules,Pharmaceuticals,139.2,43,bottles,"Boston, MA",Hospital,Megan Chang,2023-10-18
CU3HJZJJ79,Scalpel Blades,Surgical Supplies,326.58,33,pieces,"Portland, OR",Clinic,Aaron Snyder,2024-07-11
F6TBVXB13C,Vitamin D Capsules,Pharmaceuticals,192.68,23,bottles,"Houston, TX",Clinic,James Bradley,2024-02-13
XQIQFMXRUT,Gauze Pads,Surgical Supplies,176.44,23,packs,"Los Angeles, CA",Clinic,Rachel Sutton,2023-10-30
3M3CPMQ4S9,Surgical Scalpels,Medical Devices,455.23,26,pieces,"Las Vegas, NV",Clinic,Mallory Barnett,2024-01-24
5ELA0A5GOC,Aspirin Tablets,Pharmaceuticals,125.55,63,packs,"Phoenix, AZ",Hospital,Ryan Carr,2024-01-09
LOB1ZM4CBM,Disposable Gloves,Medical Devices,50.14,38,boxes,"Las Vegas, NV",Clinic,Mallory Barnett,2024-09-26
61YU2OB2GN,Gauze Sponges,Medical Devices,208.63,22,packs,"Denver, CO",Hospital,Lisa Barrera,2024-02-19
MEMGWXAQT5,Metformin Tablets,Pharmaceuticals,157.21,70,packs,"Denver, CO",Hospital,Jasmine Kelley,2024-01-27
RCB524JXD3,Surgical Scalpels,Medical Devices,400.71,27,pieces,"Washington, DC",Hospital,Rebecca Wagner,2024-02-22
M8QB6WKBNF,Cough Syrup,Pharmaceuticals,130.36,31,bottles,"Seattle, WA",Clinic,Mikayla Sanchez,2024-09-24
TFG7XI5W8R,Vitamin D Capsules,Pharmaceuticals,241.22,40,bottles,"Seattle, WA",Hospital,Megan Chang,2024-06-01
5YBIKGII5Q,Metformin Tablets,Pharmaceuticals,476.91,54,packs,"Denver, CO",Hospital,Lisa Barrera,2024-05-28
5EUA7AO29A,Suture Kits,Surgical Supplies,329.05,33,sets,"Washington, DC",Hospital,Megan Chang,2024-07-01
3SB1EW2YNA,Gauze Sponges,Medical Devices,317.85,85,packs,"Denver, CO",Hospital,Lisa Barrera,2024-03-04
P6LIESTCOX,Catheters,Medical Devices,373.91,98,pieces,"Seattle, WA",Hospital,Linda West,2024-03-13
8PPQIOXOU4,Metformin Tablets,Pharmaceuticals,106.15,33,packs,"Denver, CO",Clinic,Jasmine Kelley,2024-06-08
95NAWRIBL2,Antibiotic Ointment,Pharmaceuticals,97.83,25,tubes,"Chicago, IL",Hospital,Aaron Snyder,2023-10-14
8D5BZAP5O7,Surgical Gowns,Surgical Supplies,367.54,19,packs,"Dallas, TX",Hospital,Kristen Turner,2023-12-23
ZVFMOV9KS7,Suture Kits,Surgical Supplies,484.14,49,sets,"Phoenix, AZ",Clinic,Mikayla Sanchez,2024-02-13
MW1W1H8GVK,Suture Kits,Surgical Supplies,258.24,21,sets,"San Francisco, CA",Clinic,Mark Harrell,2024-01-09
WKPYJ0MEWF,Gauze Pads,Surgical Supplies,402.75,36,packs,"Atlanta, GA",Hospital,Robert Green,2024-06-03
POCZY2TTGH,Paracetamol Tablets,Pharmaceuticals,181.42,9,packs,"Dallas, TX",Hospital,Jennifer Ross,2024-02-29
IS3M50ZME8,Paracetamol Tablets,Pharmaceuticals,420.23,36,packs,"Houston, TX",Hospital,James Bradley,2024-08-29
4O56MSLZ69,Aspirin Tablets,Pharmaceuticals,239.1,46,packs,"Washington, DC",Hospital,Christopher Flores,2024-05-08
0K59M8S893,"Syringes, 50ml",Surgical Supplies,226.07,29,boxes,"Boston, MA",Clinic,Megan Chang,2024-03-13
YFAVZ7SZXH,"Syringes, 50ml",Surgical Supplies,297.99,22,boxes,"Dallas, TX",Hospital,Jennifer Ross,2024-03-09
X9EYWN2A63,Aspirin Tablets,Pharmaceuticals,464.01,58,packs,"Minneapolis, MN",Hospital,Thomas Garcia,2024-06-26
RDQVJR17U3,"Syringes, 50ml",Surgical Supplies,147.9,54,boxes,"Boston, MA",Clinic,Juan Campos,2024-03-15
C47G345SVH,Surgical Scalpels,Medical Devices,309.12,98,pieces,"Minneapolis, MN",Hospital,Thomas Silva,2024-06-12
ZOAEN5U67D,Aspirin Tablets,Pharmaceuticals,65.06,58,packs,"San Francisco, CA",Hospital,Robin Levy,2023-10-31
VMSQRD3RXR,Scalpel Blades,Surgical Supplies,347.32,42,pieces,"Denver, CO",Hospital,Jasmine Kelley,2024-03-24
GTF43FCCO8,Gauze Sponges,Medical Devices,148.93,50,packs,"San Diego, CA",Hospital,Renee Mcgrath,2024-01-16
UJIDF3E53E,Cough Syrup,Pharmaceuticals,54.64,37,bottles,"Houston, TX",Clinic,Mikayla Sanchez,2023-12-10
UA5U1RY7U5,Sterile Drapes,Surgical Supplies,112.56,39,packs,"Las Vegas, NV",Hospital,Kristen Turner,2024-04-24
MDAI4LIR8S,Paracetamol Tablets,Pharmaceuticals,300.11,11,packs,"Philadelphia, PA",Hospital,Mark Harrell,2024-04-09
MCUINN1I70,Blood Collection Tubes,Medical Devices,416.31,32,trays,"Denver, CO",Clinic,Jasmine Kelley,2024-05-06
R5MNE2OSQX,Paracetamol Tablets,Pharmaceuticals,127.88,8,packs,"Phoenix, AZ",Clinic,Ryan Carr,2024-07-16
N6PMO195RK,IV Tubing Set,Medical Devices,112.71,44,pieces,"Boston, MA",Clinic,Megan Chang,2024-09-01
QMIG8RDNNS,Diagnostic Test Strips,Medical Devices,301.17,44,boxes,"Denver, CO",Hospital,Linda West,2024-04-12
99UWYSRLYD,IV Tubing Set,Medical Devices,142.63,42,pieces,"Orlando, FL",Hospital,Kyle Blair,2024-02-05
L6I89UBDHL,Surgical Masks,Surgical Supplies,73.81,38,boxes,"San Diego, CA",Clinic,Rebecca Wagner,2024-04-01
E2NIBNAEV7,Insulin Injection,Pharmaceuticals,234.99,16,syringles,"Houston, TX",Hospital,Jorge Trujillo,2024-08-05
H0HA64CGI7,Surgical Scalpels,Medical Devices,137.15,60,pieces,"Portland, OR",Clinic,Aaron Snyder,2024-08-29
N3PN1WJUZ3,Catheters,Medical Devices,388.6,49,pieces,"Houston, TX",Hospital,Daniel Arnold,2024-08-06
YXVD8ZJYWX,IV Catheters,Surgical Supplies,200.35,31,pieces,"Houston, TX",Clinic,James Bradley,2023-12-21
NUXHSED6E6,Atorvastatin Tablets,Pharmaceuticals,66.62,48,packs,"Atlanta, GA",Hospital,Robert Green,2024-10-13
QQMONUM3II,Sterile Drapes,Surgical Supplies,50.73,17,packs,"San Francisco, CA",Hospital,Mark Harrell,2024-06-01
R7A0AO1QPJ,Antibiotic Ointment,Pharmaceuticals,244.0,67,tubes,"Minneapolis, MN",Hospital,Thomas Garcia,2023-11-13
RIKXV78SDK,Insulin Injection,Pharmaceuticals,140.0,5,syringles,"San Francisco, CA",Clinic,Christine King,2024-07-05
SY8FB521QY,Blood Collection Tubes,Medical Devices,206.02,49,trays,"Phoenix, AZ",Clinic,Ryan Carr,2024-10-09
OGO2285YS0,Insulin Injection,Pharmaceuticals,440.73,41,syringles,"Los Angeles, CA",Hospital,William Sullivan,2024-03-09
G7ZVPWW6UH,Forceps,Surgical Supplies,121.11,6,pieces,"Dallas, TX",Hospital,Jennifer Ross,2024-06-18
PI64UHBEPY,Antibiotic Ointment,Pharmaceuticals,107.22,43,tubes,"Chicago, IL",Clinic,John Ponce,2024-02-06
IY51PX95MY,IV Tubing Set,Medical Devices,162.13,67,pieces,"Phoenix, AZ",Clinic,Thomas Grimes,2023-12-31
FUMPPX4QF1,Amoxicillin Capsules,Pharmaceuticals,101.26,44,bottles,"Atlanta, GA",Clinic,Rebecca Wagner,2024-07-02
18OQT6ZAH4,Sterile Drapes,Surgical Supplies,122.04,13,packs,"Dallas, TX",Clinic,Kristen Turner,2023-10-14
V5OHA9EXRN,Diagnostic Test Strips,Medical Devices,414.17,43,boxes,"Denver, CO",Hospital,Lisa Barrera,2024-08-10
TC8RAP1L01,Metformin Tablets,Pharmaceuticals,454.61,5,packs,"Houston, TX",Hospital,Jorge Trujillo,2024-04-24
I8B5SFJVK4,Disposable Gloves,Medical Devices,210.89,68,boxes,"Chicago, IL",Clinic,John Ponce,2023-11-18
HNSM3JDFWU,Atorvastatin Tablets,Pharmaceuticals,281.23,16,packs,"San Antonio, TX",Hospital,Rachel Sutton,2023-11-26
C9RL0APX81,Adhesive Bandages,Medical Devices,150.86,37,packs,"Phoenix, AZ",Clinic,Mikayla Sanchez,2024-06-07
5EPBJNMN2G,Atorvastatin Tablets,Pharmaceuticals,128.33,20,packs,"Portland, OR",Clinic,Aaron Snyder,2024-08-28
3TMTFRA5LM,Disposable Gloves,Medical Devices,228.78,65,boxes,"Phoenix, AZ",Clinic,Mikayla Sanchez,2024-01-24
9WP2CUS5VR,Scalpel Blades,Surgical Supplies,405.25,50,pieces,"Dallas, TX",Clinic,Kristen Turner,2024-10-06
S2MUZ9Y8OV,Insulin Injection,Pharmaceuticals,22.39,34,syringles,"Dallas, TX",Clinic,Kristen Turner,2023-11-19
0MJ9M94H39,Disposable Face Masks,Medical Devices,265.85,104,boxes,"Los Angeles, CA",Hospital,Jennifer Ross,2024-08-21
JX1C3LZ8BW,Sterile Drapes,Surgical Supplies,120.06,19,packs,"Atlanta, GA",Hospital,Christopher Flores,2024-03-07
KEZ9SMQOTO,Catheters,Medical Devices,118.29,59,pieces,"Las Vegas, NV",Hospital,Jorge Trujillo,2023-11-12
C99GIPZB4W,Sterile Drapes,Surgical Supplies,182.5,70,packs,"Las Vegas, NV",Hospital,Mallory Barnett,2024-01-22
J5XLT9BZ4Y,IV Tubing Set,Medical Devices,319.05,34,pieces,"Denver, CO",Clinic,Lisa Barrera,2024-03-27
FV2PUJL3RQ,Atorvastatin Tablets,Pharmaceuticals,108.97,23,packs,"Houston, TX",Clinic,Daniel Arnold,2024-07-29
ENSI3NIL36,Ibuprofen Tablets,Pharmaceuticals,159.27,20,packs,"Denver, CO",Clinic,Mikayla Sanchez,2024-08-24
8A1SEIKOQ7,Paracetamol Tablets,Pharmaceuticals,399.1,26,packs,"Houston, TX",Hospital,Jorge Trujillo,2023-12-01
CZ4MIHKFTJ,Gauze Sponges,Medical Devices,440.33,49,packs,"Phoenix, AZ",Hospital,Thomas Grimes,2024-04-21
AI3P57IU5U,Surgical Gloves,Surgical Supplies,129.4,12,boxes,"San Antonio, TX",Hospital,William Cantu,2024-06-08
GI9K520Z24,IV Catheters,Surgical Supplies,179.36,47,pieces,"Portland, OR",Clinic,Ana Smith,2024-02-18
CGSHTREDA3,Gauze Sponges,Medical Devices,357.47,100,packs,"Seattle, WA",Hospital,Linda West,2024-08-28
C890QJOMO0,Surgical Gowns,Surgical Supplies,475.0,41,packs,"Washington, DC",Clinic,Renee Mcgrath,2024-01-23
6FIHB4SCQQ,Adhesive Bandages,Medical Devices,145.98,49,packs,"Portland, OR",Hospital,Ana Smith,2023-10-20
21EWSAFYN8,Scalpel Blades,Surgical Supplies,155.88,56,pieces,"San Francisco, CA",Clinic,Mark Harrell,2023-10-28
SYER04HORP,Paracetamol Tablets,Pharmaceuticals,116.67,15,packs,"Dallas, TX",Clinic,Jennifer Ross,2024-06-19
RK36MWNUZS,Ibuprofen Tablets,Pharmaceuticals,71.24,37,packs,"San Antonio, TX",Clinic,Rachel Sutton,2024-05-05
Y14GHSS3S6,"Syringes, 50ml",Surgical Supplies,459.67,43,boxes,"Minneapolis, MN",Clinic,Thomas Garcia,2024-09-24
1S3RMPQXB0,Metformin Tablets,Pharmaceuticals,160.11,10,packs,"San Antonio, TX",Clinic,Rachel Sutton,2024-09-21
8QCHDJ2A57,Scalpel Blades,Surgical Supplies,291.68,66,pieces,"Las Vegas, NV",Hospital,William Cantu,2024-09-11
GG8M3A9AV7,Aspirin Tablets,Pharmaceuticals,170.23,68,packs,"Las Vegas, NV",Hospital,Rachel Sutton,2023-10-29
3L3ORNMU2Z,Amoxicillin Capsules,Pharmaceuticals,83.79,23,bottles,"Washington, DC",Clinic,Rebecca Wagner,2024-07-14
1ATMH7HGGX,Disposable Face Masks,Medical Devices,254.01,28,boxes,"Houston, TX",Hospital,Jorge Trujillo,2024-06-26
WSV756B6BX,Vitamin D Capsules,Pharmaceuticals,426.18,56,bottles,"San Diego, CA",Hospital,Lisa Barrera,2024-06-09
7SPL67WZME,Aspirin Tablets,Pharmaceuticals,67.31,22,packs,"Los Angeles, CA",Clinic,William Sullivan,2024-06-30
9XJ9VL6C2F,Forceps,Surgical Supplies,53.17,66,pieces,"Phoenix, AZ",Hospital,Thomas Grimes,2024-09-08
DJZVPF71Y3,Aspirin Tablets,Pharmaceuticals,389.96,56,packs,"Washington, DC",Hospital,Renee Mcgrath,2024-06-04
1E140RYD1J,Aspirin Tablets,Pharmaceuticals,164.56,18,packs,"Atlanta, GA",Clinic,Robert Green,2024-02-27
2WSTCBA1EE,Surgical Scalpels,Medical Devices,427.2,46,pieces,"Las Vegas, NV",Clinic,Mallory Barnett,2024-04-27
